type,language,course,section,multi,level,question,options[a],options[b],options[c],options[d],correct
Entry Test,JavaScript,,,FALSE,2,Inside which HTML element do we put the JavaScript?,<js>,<scripting>,<javascript>,<script>,c
Final Test,JavaScript,Java Core,section 1,TRUE ,1,"What is the correct JavaScript syntax to change the content of the HTML element below?\n<p id=\""demo\"">This is a demonstration.</p>","document.getElement(""p"").innerHTML = ""Hello World!"";","document.getElementById(""demo"").innerHTML = ""Hello World!"";","document.getElementByName(""p"").innerHTML = ""Hello World!"";","#demo.innerHTML = ""Hello World!"";","a,b"
Quiz,JavaScript,Java Core,section 1,FALSE,,Where is the correct place to insert a JavaScript?,<js>,The <body> section, Both the <head> section and the <body> section are correct,The <head> section,a
Entry Test,JavaScript,,,FALSE,3,Inside which HTML element do we put the JavaScript? ,<js>,<scripting>,<javascript>,<script>,c
Final Test,JavaScript,Java Core,section 1,TRUE ,1,"What is the correct JavaScript syntax to change the content of the HTML element below?\n<p id=\""demo\"">This is a demonstration.</p>","document.getElement(""p"").innerHTML = ""Hello World!"";","document.getElementById(""demo"").innerHTML = ""Hello World!"";","document.getElementByName(""p"").innerHTML = ""Hello World!"";","#demo.innerHTML = ""Hello World!"";","a,b"
Quiz,JavaScript,Java Core,section 1,FALSE,,Where is the correct place to insert a JavaScript?,<js>,The <body> section, Both the <head> section and the <body> section are correct,The <head> section,a
Entry Test,JavaScript,,,FALSE,2,Inside which HTML element do we put the JavaScript?,<js>,<scripting>,<javascript>,<script>,c
Final Test,JavaScript,Java Core,section 1,TRUE ,1,"What is the correct JavaScript syntax to change the content of the HTML element below?\n<p id=\""demo\"">This is a demonstration.</p>","document.getElement(""p"").innerHTML = ""Hello World!"";","document.getElementById(""demo"").innerHTML = ""Hello World!"";","document.getElementByName(""p"").innerHTML = ""Hello World!"";","#demo.innerHTML = ""Hello World!"";","a,b"
Quiz,JavaScript,Java Core,section 1,FALSE,,Where is the correct place to insert a JavaScript?,<js>,The <body> section, Both the <head> section and the <body> section are correct,The <head> section,a
Entry Test,JavaScript,,,FALSE,1,Inside which HTML element do we put the JavaScript?,<js>,<scripting>,<javascript>,<script>,c
